Date,Open,High,Low,Close
11/28/2023,"16,005.30","16,071.50","15,945.30","16,048.00"
11/27/2023,"16,008.00","16,089.30","15,938.80","16,008.80"
11/24/2023,"16,062.50","16,077.00","15,981.80","16,021.00"
11/22/2023,"15,967.30","16,173.50","15,942.70","16,049.30"
11/21/2023,"16,087.50","16,122.50","15,912.00","15,990.30"
11/20/2023,"15,895.00","16,116.80","15,837.20","16,086.50"
11/17/2023,"15,897.80","15,940.00","15,825.00","15,895.80"
11/16/2023,"15,846.80","15,906.80","15,796.80","15,897.50"
11/15/2023,"15,895.00","16,049.50","15,832.30","15,889.30"
11/14/2023,"15,558.00","15,918.80","15,552.00","15,879.80"
11/13/2023,"15,586.30","15,601.30","15,465.30","15,547.00"
11/10/2023,"15,254.80","15,612.80","15,207.20","15,596.30"
11/09/2023,"15,356.30","15,453.80","15,236.80","15,256.00"
11/08/2023,"15,373.00","15,417.50","15,286.80","15,386.50"
11/07/2023,"15,215.00","15,412.30","15,176.00","15,374.30"
11/06/2023,"15,187.00","15,257.50","15,138.00","15,232.50"
11/03/2023,"14,928.00","15,228.50","14,925.50","15,178.80"
11/02/2023,"14,761.30","15,017.30","14,760.00","14,998.00"
11/01/2023,"14,460.00","14,762.00","14,410.70","14,744.50"
10/31/2023,"14,410.50","14,503.80","14,311.30","14,490.30"
10/30/2023,"14,336.00","14,476.50","14,303.00","14,416.50"
10/27/2023,"14,248.30","14,407.80","14,209.80","14,265.30"
10/26/2023,"14,425.00","14,459.00","14,140.30","14,194.00"
10/25/2023,"14,828.00","14,855.00","14,444.00","14,478.30"
10/24/2023,"14,744.00","14,948.80","14,706.00","14,846.50"
10/23/2023,"14,680.00","14,853.80","14,514.30","14,712.00"
10/20/2023,"14,850.00","14,887.50","14,645.00","14,664.00"
10/19/2023,"15,045.00","15,138.30","14,839.50","14,890.00"
10/18/2023,"15,236.50","15,238.30","14,979.30","15,025.30"
10/17/2023,"15,305.80","15,309.30","15,050.30","15,240.80"
10/16/2023,"15,120.00","15,336.80","15,083.00","15,289.50"
10/13/2023,"15,324.00","15,366.80","15,062.30","15,120.30"
10/12/2023,"15,407.50","15,468.80","15,216.30","15,315.00"
10/11/2023,"15,282.30","15,416.80","15,253.00","15,380.00"
10/10/2023,"15,196.50","15,383.50","15,171.80","15,270.80"
10/09/2023,"15,040.30","15,212.70","14,949.50","15,187.00"
10/06/2023,"14,853.80","15,160.30","14,660.00","15,112.00"
10/05/2023,"14,903.00","14,958.80","14,716.30","14,861.80"
10/04/2023,"14,713.80","14,956.00","14,589.00","14,923.80"
10/03/2023,"14,989.50","15,031.00","14,651.50","14,714.50"
10/02/2023,"14,965.00","15,046.00","14,826.00","14,984.80"
09/29/2023,"14,876.50","15,060.80","14,811.00","14,866.50"
09/28/2023,"14,772.50","14,947.50","14,658.00","14,859.80"
09/27/2023,"14,725.30","14,821.50","14,586.00","14,739.00"
09/26/2023,"14,949.00","14,949.00","14,666.30","14,715.00"
09/25/2023,"14,880.30","14,955.80","14,782.30","14,935.20"
09/22/2023,"14,854.50","15,027.50","14,836.30","14,869.50"
09/21/2023,"15,133.30","15,149.00","14,841.00","14,862.80"
09/20/2023,"15,375.30","15,436.30","15,127.00","15,152.00"
09/19/2023,"15,424.30","15,442.30","15,248.50","15,375.30"
09/18/2023,"15,382.30","15,461.00","15,330.50","15,414.50"
09/15/2023,"15,677.00","15,719.80","15,356.80","15,392.30"
09/14/2023,"15,569.00","15,714.50","15,531.00","15,673.50"
09/13/2023,"15,500.80","15,619.80","15,406.00","15,552.30"
09/12/2023,"15,662.30","15,680.00","15,483.80","15,500.00"
09/11/2023,"15,501.80","15,696.00","15,492.80","15,674.30"
09/08/2023,"15,480.30","15,586.50","15,417.00","15,493.80"
09/07/2023,"15,586.30","15,591.80","15,351.80","15,477.30"
09/06/2023,"15,511.30","15,533.00","15,310.50","15,399.50"
09/05/2023,"15,527.80","15,586.80","15,418.30","15,534.50"
09/01/2023,"15,534.00","15,661.30","15,454.00","15,516.30"
08/31/2023,"15,513.80","15,606.80","15,460.00","15,538.50"
08/30/2023,"15,427.50","15,522.80","15,361.50","15,501.30"
08/29/2023,"15,098.80","15,430.50","15,049.80","15,415.80"
08/28/2023,"14,991.00","15,126.50","14,973.50","15,092.50"
08/25/2023,"14,833.00","15,048.80","14,751.80","14,979.30"
08/24/2023,"15,333.00","15,418.00","14,817.00","14,862.00"
08/23/2023,"14,959.80","15,356.80","14,957.30","15,195.50"
08/22/2023,"14,974.50","15,118.30","14,932.00","14,958.50"
08/21/2023,"14,762.50","15,013.80","14,720.50","14,985.80"
08/18/2023,"14,748.00","14,802.80","14,609.30","14,744.00"
08/17/2023,"14,940.30","15,018.30","14,738.20","14,778.00"
08/16/2023,"15,110.80","15,166.00","14,921.50","14,942.30"
08/15/2023,"15,279.00","15,335.00","15,074.80","15,106.50"
08/14/2023,"15,104.00","15,282.00","15,020.80","15,270.30"
08/11/2023,"15,219.00","15,266.80","15,037.30","15,095.80"
08/10/2023,"15,202.50","15,442.30","15,136.00","15,201.30"
08/09/2023,"15,351.80","15,432.50","15,146.50","15,178.30"
08/08/2023,"15,495.00","15,497.80","15,218.00","15,354.30"
08/07/2023,"15,370.50","15,495.50","15,334.30","15,485.50"
08/04/2023,"15,441.00","15,610.30","15,336.50","15,354.00"
08/03/2023,"15,455.80","15,551.80","15,339.50","15,438.80"
08/02/2023,"15,757.00","15,789.80","15,414.00","15,473.00"
08/01/2023,"15,869.30","15,889.30","15,728.30","15,817.30"
07/31/2023,"15,850.00","15,917.00","15,791.30","15,857.50"
07/28/2023,"15,580.00","15,896.00","15,546.30","15,847.50"
07/27/2023,"15,638.80","15,904.00","15,511.30","15,571.00"
07/26/2023,"15,730.30","15,739.30","15,515.00","15,610.80"
07/25/2023,"15,570.00","15,736.30","15,549.30","15,673.00"
07/24/2023,"15,556.00","15,618.80","15,483.80","15,561.30"
07/21/2023,"15,590.80","15,719.30","15,522.30","15,540.00"
07/20/2023,"15,922.80","15,925.80","15,547.00","15,592.30"
07/19/2023,"15,949.30","16,062.80","15,911.30","15,959.30"
07/18/2023,"15,832.00","16,029.80","15,733.00","15,974.80"
07/17/2023,"15,690.00","15,882.80","15,661.50","15,840.80"
07/14/2023,"15,699.00","15,857.30","15,663.00","15,694.30"
07/13/2023,"15,457.80","15,741.30","15,456.50","15,711.50"
07/12/2023,"15,258.00","15,507.80","15,254.50","15,444.80"
07/11/2023,"15,195.80","15,278.80","15,109.50","15,260.00"
07/10/2023,"15,198.50","15,218.30","15,063.30","15,187.00"
07/07/2023,"15,211.80","15,359.80","15,172.30","15,181.80"
07/06/2023,"15,353.80","15,366.00","15,111.50","15,238.00"
07/05/2023,"15,345.30","15,432.00","15,255.30","15,360.80"
07/03/2023,"15,331.00","15,392.00","15,308.00","15,364.80"
06/30/2023,"15,106.00","15,376.80","15,099.00","15,337.00"
06/29/2023,"15,161.00","15,202.80","15,028.50","15,100.30"
06/28/2023,"15,088.30","15,219.00","15,021.20","15,130.00"
06/27/2023,"14,875.00","15,139.30","14,862.30","15,111.50"
